PC,Iteracion,Procesador,Cores,Tiempo Total,Tiempo Carga Taxis,Tiempo Carga Zonas,Tiempo Limpieza,Tiempo Consulta 1,Tiempo Consulta 2,Tiempo Consulta 3,Tiempo Consulta 4,Tiempo Consulta 5,Tiempo Consulta 6,Tiempo Consulta 7,Tiempo Consulta 8,Tiempo Consulta 9,Tiempo Consulta 10,Tiempo Consulta 11,Tiempo Consulta 12,Tiempo Consulta 13,Tiempo Consulta 14,Tiempo Consulta 15
PC 1 - Enrique,1,i5-1135G7,4 cores a 2.4GHz,226.15068697929382,3.431995153427124,0.5030033588409424,47.442272901535034,5.042219400405884,10.280168056488037,4.3987884521484375,2.5453591346740723,22.279935598373413,22.327312469482422,8.154147148132324,10.13343358039856,7.910071611404419,7.087824106216431,8.03594446182251,7.36059045791626,11.548239707946777,23.245213270187378,15.642894506454468
PC 1 - Enrique,2,i5-1135G7,4 cores a 2.4GHz,211.01908779144287,3.2407517433166504,0.3140597343444824,43.38423037528992,4.562205076217651,10.19660234451294,4.2351460456848145,2.4313650131225586,21.481882095336914,22.502925395965576,8.226394653320312,9.790649652481079,7.2632896900177,6.374582290649414,7.406867265701294,6.458314895629883,10.232170581817627,22.76187252998352,15.551144361495972
PC 1 - Enrique,3,i5-1135G7,4 cores a 2.4GHz,211.00760698318481,3.234844923019409,0.3340015411376953,44.099234104156494,4.62885046005249,10.244110107421875,4.257434606552124,2.518833875656128,22.29978609085083,22.465341091156006,8.248227834701538,9.496250867843628,7.239500522613525,6.419597387313843,7.245072364807129,6.408132553100586,10.318985223770142,21.834585428237915,15.242389678955078
PC 1 - Enrique,4,i5-1135G7,4 cores a 2.4GHz,228.92262434959412,3.593266725540161,0.32700228691101074,45.09316825866699,4.614869117736816,10.855431318283081,4.348036527633667,2.5859198570251465,22.41848349571228,23.74039912223816,8.800395488739014,10.533231019973755,7.880866289138794,6.843085527420044,7.86100435256958,8.182997941970825,11.354002237319946,26.63436484336853,18.33537244796753
PC 1 - Enrique,5,i5-1135G7,4 cores a 2.4GHz,209.12881302833557,3.355208158493042,0.3240015506744385,44.78883719444275,4.592541456222534,10.812048435211182,4.234358072280884,2.4844465255737305,21.931141138076782,21.30495285987854,7.843666315078735,9.238576173782349,7.312466382980347,6.187512159347534,7.316631555557251,6.390611886978149,9.656329870223999,21.54829692840576,15.046860218048096
PC 2 - Diego,1,i7-8550U,4 cores a 1.8GHz,306.1685438156128,3.867553949356079,0.484375,54.53214693069458,7.118610620498657,13.341642618179321,6.131484270095825,3.024949073791504,33.724472999572754,35.35477566719055,11.784722089767456,13.437975645065308,11.337510347366333,9.069456338882446,10.31558632850647,9.07869839668274,19.123342514038086,36.522088050842285,20.723362922668457
PC 2 - Diego,2,i7-8550U,4 cores a 1.8GHz,339.73502922058105,3.8103818893432617,0.40620946884155273,62.17822241783142,34.574134349823,16.16702389717102,4.961329221725464,5.785688161849976,34.6784131526947,31.530581951141357,11.172316074371338,15.59956669807434,19.590339422225952,7.984654903411865,9.926896810531616,9.400266170501709,13.16527533531189,32.180946588516235,19.340409755706787
PC 2 - Diego,3,i7-8550U,4 cores a 1.8GHz,295.84557127952576,4.046355247497559,0.3741726875305176,51.899986028671265,5.697169065475464,12.630115509033203,5.01592755317688,3.8580400943756104,32.19184589385986,32.235143184661865,12.012518882751465,13.622950792312622,10.260484457015991,8.603705644607544,9.758301973342896,8.668422937393188,12.684830904006958,34.18384337425232,19.755908012390137
PC 2 - Diego,4,i7-8550U,4 cores a 1.8GHz,311.7666642665863,4.47698450088501,0.468752384185791,54.41298985481262,15.3359854221344,11.242525577545166,5.455639600753784,3.254747152328491,35.39368724822998,35.38449001312256,14.291277408599854,16.05980610847473,10.062101364135742,10.443529844284058,12.237934827804565,9.103761672973633,12.910493612289429,34.51042056083679,19.276176929473877
PC 2 - Diego,5,i7-8550U,4 cores a 1.8GHz,293.3257191181183,4.969284772872925,0.453096866607666,54.649330377578735,7.140173435211182,13.909777879714966,5.607539892196655,3.2668941020965576,31.400756359100342,31.67728328704834,11.606055736541748,14.859326124191284,11.097869157791138,8.450891733169556,9.764625549316406,8.739425897598267,12.734295129776001,34.94129657745361,20.46263575553894
